TestNumber,DataSize,PersistentWriteTime,PersistentReadTime,VolatileWriteTime,VolatileReadTime
1,1000,8.082167029380798,8.215833067893982,4.302791953086853,2.9275829792022705
2,2000,3.6117089986801147,2.334833025932312,2.1342499256134033,2.9621249437332153
3,3000,2.2256250381469727,2.0378329753875732,1.552042007446289,2.404207944869995
4,4000,1.7418750524520874,2.141792058944702,1.622291088104248,3.3544169664382935
5,5000,1.8666660785675049,3.2286670207977295,1.895334005355835,3.2640000581741333
6,6000,1.9151250123977661,3.7038331031799316,2.2843329906463623,5.031582951545715
7,7000,1.7250410318374634,5.338458061218262,1.5953329801559448,5.971292018890381
8,8000,1.7474169731140137,6.311208009719849,1.9342080354690552,5.336250066757202
9,9000,1.6561249494552612,6.547167062759399,1.5575419664382935,5.700291991233826
10,10000,1.9480839967727661,7.01029098033905,1.809291958808899,6.125833988189697
11,11000,1.9047919511795044,6.755125045776367,1.816249966621399,5.631999969482422
12,12000,1.9609999656677246,7.469457983970642,1.8287919759750366,7.217125058174133
13,13000,2.545042037963867,8.834541082382202,2.267292022705078,8.300209045410156
14,14000,1.7427500486373901,9.676542043685913,1.7149590253829956,9.61316692829132
15,15000,1.7660419940948486,10.835125088691711,2.213582992553711,9.921000003814697
16,16000,1.690708041191101,10.554375052452087,2.4179580211639404,10.31516695022583
17,17000,1.899749994277954,11.388833999633789,2.0775840282440186,11.674749970436096
18,18000,1.7691669464111328,11.940582990646362,2.9266250133514404,13.795874953269958
19,19000,1.877750039100647,14.517083048820496,1.9819589853286743,13.562709093093872
20,20000,4.2730419635772705,15.230708003044128,2.358875036239624,15.646499991416931
21,21000,2.3420000076293945,15.73562502861023,2.325624942779541,16.459749937057495
22,22000,2.0825001001358032,17.814916968345642,2.215833902359009,18.07391595840454
23,23000,2.2441248893737793,19.566500067710876,2.1144580841064453,19.915249943733215
24,24000,2.422542095184326,18.144290924072266,2.5796250104904175,18.36062490940094
25,25000,2.0864579677581787,20.553749918937683,8.239708065986633,20.92774999141693
26,26000,2.406959056854248,22.670542001724243,3.0015830993652344,22.342707991600037
27,27000,2.7044999599456787,24.107583045959473,2.5809580087661743,24.47791600227356
28,28000,3.1696659326553345,25.414041996002197,3.2874579429626465,24.281582951545715
29,29000,5.3114999532699585,25.19029200077057,2.4378750324249268,25.791249990463257
30,30000,4.158458948135376,27.187708020210266,3.803333044052124,26.04408299922943
31,31000,2.767040967941284,29.35104203224182,2.7389590740203857,31.082917094230652
32,32000,3.5595829486846924,31.875792026519775,2.6240841150283813,30.648375034332275
33,33000,2.9977500438690186,31.234917044639587,2.720457911491394,30.97029197216034
34,34000,2.9444580078125,33.25591599941254,3.433791995048523,35.10145902633667
35,35000,4.426041007041931,35.66474997997284,3.1457090377807617,36.68070900440216
36,36000,3.942667007446289,37.71883308887482,2.7805830240249634,39.76908302307129
37,37000,4.139959096908569,39.4470409154892,4.463792085647583,41.39174997806549
38,38000,4.131999969482422,44.877333998680115,4.458709001541138,18.76687502861023
39,39000,4.289624929428101,52.02079200744629,4.732916951179504,46.849124908447266
40,40000,3.980375051498413,49.981958985328674,3.9595839977264404,50.186582922935486
41,41000,4.960416078567505,54.43329095840454,5.554957985877991,55.913041949272156
42,42000,4.684625029563904,57.81991708278656,4.896750092506409,54.32012498378754
43,43000,3.108791947364807,59.8229159116745,4.177790999412537,58.07424998283386
44,44000,4.359541893005371,60.91820800304413,3.6695419549942017,59.001209020614624
45,45000,3.5382909774780273,55.53291594982147,3.1374999284744263,58.6139999628067
46,46000,3.7518750429153442,68.88966596126556,4.2638750076293945,66.93062496185303
47,47000,4.165500044822693,70.2754579782486,6.43358302116394,72.67824995517731
48,48000,4.300000071525574,74.02183306217194,3.414707899093628,78.60720801353455
49,49000,5.657666921615601,84.61133301258087,3.409000039100647,79.55062508583069
50,50000,5.564332962036133,80.25108301639557,5.14995801448822,84.496542096138
51,51000,5.393375039100647,88.71462500095367,5.719874978065491,92.40112495422363
52,52000,4.7021249532699585,91.62937498092651,5.291790962219238,92.00070810317993
53,53000,6.890792012214661,98.89925003051758,5.714042067527771,100.65683400630951
54,54000,6.2748329639434814,101.76920795440674,6.398874998092651,107.73412501811981
55,55000,6.506749987602234,105.89437508583069,7.724125027656555,111.5569999217987
56,56000,5.17616605758667,110.72987496852875,6.7820000648498535,112.24379098415375
57,57000,6.942541003227234,79.13379192352295,10.334667086601257,115.34195899963379
58,58000,7.5379170179367065,137.42687499523163,7.539832949638367,116.21408295631409
59,59000,8.912791013717651,115.531583070755,8.099125027656555,119.36387503147125
60,60000,7.679082989692688,120.39425003528595,16.45329201221466,114.80429196357727
61,61000,7.916291952133179,119.20174992084503,9.926167011260986,125.10866594314575
62,62000,4.893124938011169,94.42808306217194,5.681833028793335,111.92575001716614
63,63000,5.683583974838257,120.14662504196167,5.798291921615601,118.0601669549942
64,64000,6.632833003997803,123.49762499332428,7.811583042144775,122.4030419588089
65,65000,7.033542037010193,125.6666249036789,5.3705830574035645,120.35179197788239
66,66000,6.834415912628174,123.70354104042053,9.46749997138977,124.7931250333786
67,67000,4.577499985694885,107.20554196834564,6.713582992553711,134.52595901489258
68,68000,8.451750040054321,134.54558396339417,7.542875051498413,132.7569169998169
69,69000,8.213958978652954,134.91216707229614,7.892040967941284,134.9713749885559
70,70000,6.595832943916321,138.55341589450836,6.473208069801331,139.0833330154419
71,71000,6.48295795917511,145.26583397388458,7.784958004951477,142.40808403491974
72,72000,6.910874962806702,144.39800000190735,8.64270794391632,144.3151249885559
73,73000,8.470790982246399,152.74549996852875,7.3006250858306885,150.51762509346008
74,74000,5.2939159870147705,141.32879197597504,7.536625027656555,154.65550005435944
75,75000,4.230125069618225,125.7366669178009,5.9320420026779175,145.14537501335144
76,76000,4.765874981880188,128.54912507534027,6.958625078201294,151.2514579296112
77,77000,4.665499925613403,145.5850419998169,6.422791957855225,154.09533309936523
78,78000,6.76199996471405,157.3723750114441,7.942333936691284,183.78112494945526
79,79000,5.399584054946899,142.7977499961853,4.85145902633667,140.91445899009705
80,80000,7.949416995048523,172.853541970253,7.347874999046326,171.64766705036163
81,81000,7.696916937828064,174.57449996471405,7.4801249504089355,173.01366698741913
82,82000,7.114290952682495,177.9256249666214,8.703207969665527,177.3903329372406
83,83000,17.105041980743408,172.88120901584625,12.064959049224854,190.5118749141693
84,84000,10.32070803642273,196.25133299827576,11.826624989509583,191.46883308887482
85,85000,6.7110830545425415,200.19312500953674,5.078458070755005,179.09216606616974
86,86000,6.352165937423706,208.70825004577637,12.368666052818298,199.366917014122
87,87000,4.958000063896179,189.6411670446396,9.243959069252014,206.03366696834564
88,88000,10.532750010490417,206.9005000591278,8.98741602897644,208.40720903873444
